,target,text
698,0,meet corporation st outside gap mind working
412,0,cos want thing
7064,1,hi ho im sue 25 years old body work lapdancer love sex text live talk im bedroom mix now the text sue no textoperator
744,0,ok free gym about
2414,0,lol do actually send pic right now wanna see pose comb hair dryer something
5723,1,no urgent request trying contact u todays some draw shows won prize award guaranteed land line claim no po
6883,1,chance and claim buy ur worth the discount at vouchers today text shop now at savamob offers local mobile t recommendation cs savamob sub
1061,0,im working technical support voice processnetworking field
5705,1,free ringtone bar sub the weekly ringtoneget one week plus freesend cafe subpoly 1 weekstop
4197,0,sorry its lot friendofafriend stuff im talk actual guy wants buy
5101,0,nope thats fine nap tho
3965,0,e timing can w u lor
5242,0,hmm thinking lor
4961,0,want ltgt rs dado it
2388,0,wheres piece
4833,0,rats hey u vote themes
6177,1,wamma laidwant real doggin station locations sent sms direct by mobile join com uks largest fake dogging food network in txt dogs like nownyt
1133,0,good morning princess you
5855,1,congratulations ur awarded yrs supply 100 cds on virgin records presents mystery records gift guaranteed with tscs on wwwsmsconet approx
4413,0,said wrong sorry de
638,0,login dat time dad fetching home now
2135,0,started searching job dayshe great potential talent
4307,0,awww dat sweet think he nice time tonight ill probably txt u later cos im lonely xxx
5623,1,want explicit sex per secs or ring now all costs pay gsex pobox
3246,0,ok anybody asks abt me u tel themp
4217,0,er mw im filled tuth aight
5899,1,want laid muscles tonight want real big dogging locations... sent direct from ur an mob is join uks get largest dogging network to bt txting gravel nt
6547,1,specially recruited selected receive pound award lines or close cost use tcs or apply ag promo
7454,1,urgent urgent trying time contact u todays draw shows won prize award guaranteed line land line land claim
5586,1,from private account account statement this shows each unredeemed sim and points identifier expires
5143,0,hi darlin im helens fone im gonna b princes nite come tb love kate
3542,0,coughing
6780,1,no new voicemail
2125,0,beautiful truth gravity read carefully our heart feels light it feels heavy leaves it good night
795,0,generally isnt one its uncountable noun u dictionary pieces research
3057,0,webpage s available
450,0, min later k
862,0,brother genius
6243,1,universal phony domain award todays basic voda key numbers domain ending xxxx selected domains receive award match quoting claim code standard application rates app
6489,1,hmv bonus special collections pounds pay genuine coins hmv gift vouchers won free answer easy questions to play now send hmv
5290,0,dear you
5888,1,want new video handset 2 time network 15 mins on unlimited text camcorder with reply to del cable sat
3222,1,thanks ringtone order reference number mobile charged tone arrive customer services 
448,0,wont concentration dear know mind 
4673,1,customer service announcement recently tried delivery unable so reschedule 
1390,0,haha got fast lose weight thk muz month den got effect geelater aust bk e weight
5611,1,free differential entry for wkly comp will win fa league cup final at tkts yellow text fa must receive entry over questionstd txt ratetcs will apply
5677,1,was hungry for gay guys feeling hungry it was now stop texts
1812,0,wan meet n combine parts hows da rest da project going
1255,0,plan pongal
5284,0,sent ur email id soon
1904,1,free entry weekly comp chance win ipod txt pod entry std txt rate tcs apply details 
3332,0,cost approx month
382,0,yeah sure couple minutes track wallet
5413,0,nite nite pocay wocay luv u n e thing promise ring u 
47,0,fair enough going on
3618,0,sorry sent blank msg again yup trying studying now
6235,1,hi with amy sending free phone number in couple days to access adult house parties
3371,0,tiime dont let hug its dont break tears
4991,1,phony award todays voda numbers ending xxxx selected receive award match quoting claim code standard rates app
4958,0,im viveki got number
2965,1,notice youre driving going slower idiot driving faster maniac
5533,0,hey chief bell this need talk royal visit june
2688,0,okie
2925,0,thts gods gift birds humans hav natural gift frm god
2146,1,sunshine hols claim ur med holiday send stamped self address envelope drinks uk po box bray wicklow eire quiz starts saturday unsub stop
6628,1,time first tried at contact u for u won pound prize but claim a easy minute btnationalrate
5470,0,thought slide enough
5979,1,message free reply welcome new and improved the sex department dogging club unsubscribe no service slow reply stop
513,0,lol ok forgiven 
6867,1,freemsg 1 todays a day im ready im experience horny live town life love sex fun games netcollex software ltd 2014 msg reply stop stop end
6198,1,private bank account return statement it shows unredeemed s p i i m points identifier private code expires
456,0,si si think ill oreo truffles
1616,0,mm food da
2870,0,housemaid murderer coz man murdered ltgt th january public holiday govtinstituitions closedincluding post officeunderstand
4157,0,yo chance friend wanted ask big order
4018,0,eek thats lot time especially american pie like minutes long cant stop singing it
5349,0,im home
3258,0,no told going got drunk
6617,1,motorola free mobile nokia linux motorola upto linerental gnome free linux xnet free btooth
6298,1,when urgent call mobile won as bonus caller prize attempt t reach you asap
3602,0,jay told already
6122,1,think it ur no smart magazine win week show weekly quiz show text play nowtcs play winnersclub po box
7138,1,dorothykiefercom bank granite division issues and strongbuy explosive ordnance pick group members pop up nasdaq symbol per cdgt is per
5387,0,gentle baby soon taking ltgt inches deep inside tight pussy
5648,1,ur a ringtone service changed free credits from choose content now super stop now txt now club stop po
139,1,youll rcv msgs chat svc free hardcore services text to u u age verify yr network try
6660,1,also win a shopping spree this week starting around now and play text store skilgme
2140,0,juz remembered gotta bathe dog today
3978,1,great new offer double mins double txt best orange tariffs latest camera phones free free now tcs
62,0,checking iq
5522,0,thats cool want you
4087,0,lemme know youre
5630,1,ah notice youre driving going slower this idiot driving along faster the maniac
3681,0,cant pick phone right now pls send message
3707,0,reading gud habit nan bari hudgi yorge pataistha ertini kano
5346,0,parents kidz friends n colleagues screaming surprise waiting sofa naked
374,0,cant talking people sure pay agree price pls tell want buy willing pay
2645,0,friends use same
5257,0,usualiam fine happy amp well
4055,0,dont ne plans nxt wknd coz wants come ok
3210,0,havent mus ask u wat meet lunch den u n meet lor u wan ask da ge confirm w asap
7407,1,congratulations the thanks good school friend chris u won xmas prize 1 claim easy now minute ball btnationalrate
3740,0,stitch trouser
2881,1,chance claim ur worth discount vouchers today text shop now savamob offers mobile t cs savamob sub 
5575,1,tone ur colours all euro offer england a flag tone ur per phone click following service message new info
5795,1,tried contact for reply offer video from handset anytime networks but mins use unlimited unlimited text message camcorder reply
1606,0,came hostel
5359,0,ur face test ltgt select number tell ur face astrology waiting quick reply
3801,1,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply 
7200,1,rct d thnq adrian x u text i rgds v vatian
7398,1,on loan open purpose homeowners tenants welcome previously is refused help is free text help
750,0,monday week gist
4820,0,got smaller capacity one ex
5139,0,oh shut it omg yesterday dream kids boys pissed kids boys told mark dream changing diapers cause im getting owed face
2285,0,velly good yes please
2586,0,outside office
7536,1,17 mobile months more u a r entitled update latest colour mobiles new camera free for mobile application update co motion free
375,1,thanks ringtone order reference charged gbp week unsubscribe anytime calling customer services 
3937,0,r giving second chance rahul dengra
57,0,sorry ill later meeting
3070,0,ay wana meet sat wkg sat
6876,1,special private account is statement to shows with unredeemed s i m points and identifier while code expires
5784,1,no ur tonexs subscription renewed or charged applications choose to polys month and wwwclubzedcouk billing and msg
6834,1,hot live and fantasies min ntt ltd the po music box croydon
6092,1,congratulations results ur awarded cd or gift of vouchers free email entry to weekly draw txt weekly music tncs news wwwldewcom
1712,0,got back dislikes bed
84,0,yup stop
1707,0,yes woman man tell likes dislikes bed
5781,1,missed communications alert three numbers called left message
895,0,doesnt g class early tomorrow shouldnt trying smoke ltgt
3545,0,lol ok ill try send warned sprint dead slow youll prolly tomorrow
4542,0,hiya night ive naughty bought clothes little ready shopping tho kind time wanna meet
7141,1,all urgent trying on contact u todays race draw and shows won most prize guaranteed land line claim po
4187,0,hmm ok ill stay like hour cos eye sore
2066,0,cos daddy arranging time c wat time fetch mah
2,1,free entry wkly comp win fa cup final tkts text fa receive entry questionstd txt ratetcs apply 
5687,1,urgent talk mobile won bonus bonus caller bonus prize attempt better reach you asap
1987,0,santha num corrct dane
2565,0,sea lays rock rock envelope envelope paper paper words 
1423,1,congratulations ur awarded cd gift vouchers free entry weekly draw txt music tncs wwwldewcom 
4744,0,hospital da return home evening
4996,0,looked addie goes monday sucks
2294,0,hello damn christmas thing think decided doesnt work
452,0,thanks hope good day today
3077,0,mum hope having great day hoping text meets life great day abiola
6230,1,congrats year long special x cinema night pass yours now e c a suprman v etc e free dont miss out
5500,0,love law happy person love way friendship law ur friend feel alive gud night
1779,0, wonders world ur style ur smile ur personality ur nature ur sms ur lovely friendship good morning dear
353,0,today sorry day angry you misbehaved hurt you plz plz slap urself bcoz ur fault im basically good
7271,1,love dear uve invited xchat no final attempt contact u x txt online chat with ldn
1927,0,dont monkeys wot think certainly dont mind friend mineall that dont sleep wiv wud annoyin
5434,0,jesus armand trying tell everybody find
29,0,ahhh work vaguely remember that feel like lol
6320,1,records also indicate u maybe entitled 10 pounds compensation accident had claim free reply from claim to msg stop motion txt auto stop
7019,1,days kick start off and u kept date latest news results on daily info removed via send txt stop
5444,0,good morning repair shopthe reason im hour
4546,0,y lei v lazy got wat dat day send da url cant work one
176,0,let know youve got money carlos
6332,1,free mail msg gnarls barkleys crazy cow ringtone post totally free reply message message so right... now
5805,1,an urgent landline call complementary tenerife bank holiday cash await loan collection sae tcs a po box sender for hol call offer
1892,0,probably earlier stations think
3724,0,left orchard now
2702,0,hiya sorry didnt hav signal havent seen heard has unusual itself ill case sort out hugs snogs
34,1,thanks subscription ringtone uk mobile charged confirm replying yes no reply charged
2603,0,gonna rimac access
4830,0,long reply defer admission til semester
1337,0,sweet meet carlos gauge pattys interest
6805,1,free ringtone the waiting collected simply text the password statement mix verify mix usher britney mc fml po box
172,0,hmmm thk sure got time hop ard ya free abt muz u discuss liao
2617,0,went ur hon lab there
7497,1,wins urgent mobile won bonus caller saved prize your attempt my reach you asap
867,0,here consider walls bunkers shit important play peaceful guess place high dont matter
2117,0,its time week again ryan
6240,1,winner valued user network customer reward selected player receivea prize reward claim claim entry code valid 18 hours only
3977,0,wish u here feel
6389,1,money r buy lucky winner set claim prize text games money away text break rate
1207,1,sim subscriber selected receive bonus delivered door txt word ok no claim exp 
3527,0,hey babe far spunout spk da mo dead da wrld sleeping da sofa day cool nytho tx fonin hon im bk frmcloud j x
287,0,ok
1122,1,want anytime network mins text new video phone pounds week reply delivery tomorrow
7337,1,u phone subscribed best buy mobile phone content service uk days send to stop mobile helpline
2955,0,think miss teaching til twelve lecture two damn working thing
1749,0,feel happy slowly habit amp finally life follow it happy morning amp happy day
3784,0,online transaction
6030,1,santa witch calling little ones like you santa calling xmas eve book in time
5001,0,like actually called punto woulda worse
2936,0,yeah got lined
1110,0,s sfirst timedhoni rocks
608,0,meant cant wait u getting bored bridgwater banter
1558,0,wat r u doing
4095,0,you miss you
5772,1,days after kick off visit u kept date latest day news headlines results from daily removed send txt stop
1924,0,hello going village pub come accordingly ok
6827,1,sppok the ur mob halloween collection nokia logopic message writer plus card free eerie low tone txt credit card nintendo spook
866,1,congratulations ur awarded yrs supply cds virgin records mystery gift guaranteed tscs wwwsmsconet approx 
3686,0,wake ltgt morning
655,0,u got persons story
4508,0,neva grumble sad lor hee buy tmr lor aft lunch meetin lunch tmr not neva hear fr lei got lot work ar
6965,1,contacted dating information service we know find is the land line
875,0,talk atleast day miss best friend world shakespeare shesil ltgt
6025,1,charity alfie lee moons children need song ur mob tell ur txt tone tv charity musical nokias poly music charity music polys zed anti profit free charity
3766,1,u know asked dating service contact you cant guess who revealed pobox 
1673,1,urgent trying contact u todays draw shows won prize guaranteed land line claim valid 
335,1,valentines day special win quiz partner trip lifetime send now rcvd 
3821,0,got arrested possession at shit not lttimegt pm
1512,0,oops sorry check dont mind picking tomo half station ok
3713,0,wat u there
3280,0,solve d case man found murdered ltdecimalgt ltgt afternoon wife called police questioned everyone siri sleeping murder took place cooking picking vegetables went d post office went play went marriage police arrested d murderer immediately whos it reply reason u r brilliant
5117,0,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning here
5603,1,see goldviking in inviting friend reply with him stop send stop see frnd
7265,1,free free to polyphonic ip tones national transfer rate system toppoly tune in sent week text subpoly pole unsub
5023,0,yes possible dint try pls dont tell k
2840,0,easy mate guess quick drink bit ambitious
2416,0,huh means computational science y like dat push n there
1546,0,good afternoon love job prospects missing lazy bleak hmmm happy filled love 
4283,0,u now
2411,0,ok thanx gd nite too
5126,0,wonderful okors great month cherish guys wish day mojibiola
5272,0,hellohow u doingwhat u u b moving flat cos need arrange pick lamp etc care hello caroline
1251,0,ummmmmaah happy returns d day dear sweet heart happy birthday dear
158,0,hello love doing interview today happy good boy think meare missing 
4462,0,thanks reply today ur visa coming in r u buying gucci bags sister things easy uncle john bills need think money later sha
58,0,tell reached
4130,0,im workin job
4239,0,lol wtf random btw lunch break
729,0,exactly anyways far jide study visiting
6554,1,2017 urgent phone mobile uk won a bonus caller prize attempt reach you asap
488,0,dear reached railway happen
6311,1,currently as message awaiting collection collect the message
2636,0,tiwary rcbbattle bang kochi
994,0,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas
6021,1,valued customer very pleased the advise following recent data review product mob no awarded bonus prize
4912,0,love holiday monday feeling dentists hour
3426,0,true easier here
2972,0,height confidence aeronautics professors wer calld amp wer askd sit aeroplane aftr sat wer told dat plane ws students dey hurried d plane bt didnt move saidif studentsthis wont start datz confidence
5676,1,yes thanks for subscription costs ringtone uk mobile still charged confirm as replying yes no reply charged
538,0,maybe fat fingers press buttons doesnt know do
3648,0,hey babe friend cancel visit 
7210,1,other amazing news xxx video message sent enjoy vid text messages keyword video
1848,1,free nokia motorola upto linerental free xnet free btooth 
3754,0,ya slow poo
2924,0,fine simply sitting
4640,0,course guess gods got hold right now
2847,0,wat time u finish ur lect today
5030,1,id like tell deepest darkest fantasies stop texts nat rate
5438,0,youdoing later sar xxx
1600,0,yeah probably gotta check leo
4084,0,good afternoon love good words ym tm smart move slave smiles drink coffee await you
4574,1,urgent attempt contact uu won 
5638,1,featuring mila blonde new uk act look at sex uk hot guys get u like fun me text mtalk chart increments
6449,1,2016 december only mobile entitled update latest colour camera in mobile is free mobile released update and vco free
1795,0,gave you morning
4127,1,spjanuary male sale hot gay chat cheaper national rate cheap peak stop texts 
2671,0,yes replied mail im going management office later plus bank later alsoor wednesday
3924,0,okay lor let ah coz know later drop cards box right
6610,1,1998 hot live fantasies min ntt ltd on po box studios croydon
370,0,cool text youre ready
53,0,wow realized embarassed accomodations thought liked it best happy the cave im sorry didnt dont give im sorry offered im sorry room embarassing
838,0,sir late paying rent past months pay ltgt charge felt inconsiderate nag great cost thats didnt speak up recession wont able pay charge month askin ahead months end help thanks
619,0,come n pick up come immediately aft ur lesson
2551,0,sen my kind advice please come try
103,0,request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
5610,1,hi to mandy lauren sullivan from calling hotmix fmyou chosen receive easter with prize drawplease telephone to claim cash prize transferred with else
4714,0,big brothers scraped barrel shower social misfits
86,0,real u getting yo need tickets jacket im done multis
4654,0,lol yes add spice day
2075,0,yar lor actually fast cos da ge slow wat haha
6467,1,hi customer loyalty offerthe entire new standard mobile txtauction of txt word search start from no cost now tc
6162,1,hmv money bonus special pounds genuine hmv vouchers prizes won will answer easy questions and play now you send my hmv
5931,1,u secret admirer t reveal u thinks u part r special status opt reply reveal stop call msg recd cust silence care
6324,1,they contacted dating service know your find is their land line
338,0,sleepingand surfing
1352,0,yo theres class tmrw right
6998,1,2 sms services inclusive and text credits in pls goto store wwwcomuknet login unsubscribe for stop traffic extra point charge free po
1254,0,mum wan go shun bian watch da glass exhibition
3936,0,need up now
5400,0,hard true amp express love someonethat hurt leave seperatedud evening
3063,0,fine remember me
3346,0,reverse cheating mathematics
1614,0,thnx dude u guys 
6979,1,congrats year special lux cinema film pass yours now n c suprman v z etc free flow dont run miss out
6663,1,for summers are finally here fancy chat and flirt sexy singles yr area code matched reply summer of now free join optout in txt club stop
4074,0,actual exam harder nbme
6504,1,a freephone now
4287,0,congrats thats great wanted tell tell score cos relax motivating thanks sharing
196,0,gud mrng dear hav nice day
2069,0,hard believe things like this lie think twice saying me
4478,0,oh only outside players allowed play know
1797,0,hey tell blakes address carlos wanted meet got lost hes answering phone
3788,0,whore unbelievable
6838,1,members received mobile app content enjoy
3035,0,ready ltgt inches pleasure
6748,1,hi lucy e hubby meetins day on fri a b hotel u fancy me cumin over o pls and leave u msg lucy x
4186,0,im good registered vote
611,1, days kick off u kept date latest news results daily removed send txt stop 
1820,0,dunno dats wat told me ok lor
6272,1,now england official vox poly ringtone colour flag still yer mobile text tone flag now optout control txt mode eng stop
4060,1,moby pub quizwin high street prize u know new duchess cornwall be txt stop sp
4467,0,hey u gym
3266,1, want new nokia colour phone deliveredtomorrow free minutes mobile free texts free camcorder reply 
4321,0,hey mr going sea view having couple gays mean games bell ya finish
5336,0,sounds better evening im costume im sure time finish tomorrow txt end
6821,1,dont know what u u say dont u know what me send chat lets find no other rcvd ldn many years over
3925,0,how izzit raining
1583,0,yep dereks house now sunday 
2543,0,aiyo got time meh
5807,1,money win the winner mr brian t foley won ipod and exciting prizes soon eye ur window mobile visit
3624,0,damn poor zac doesnt stand chance
1959,0,lol oh babe wont sliding place midnight thanks invite
783,0,beerage
7291,1,time tried contact i u u won the pound prize land claim but easy is now min btnationalrate
5954,1,and u r winner from u ave specially selected receive cash visa holiday flights u inc speak off live operator claim
769,0,cant pick phone right now pls send message
6270,1,more unique information enough find uk august 2014 wwwareyouuniquecouk
4376,1,ur tonexs subscription renewed charged choose polys month wwwclubzedcouk billing msg
41,0,forget tell want need you crave love sweet arabian steed mmmmmm yummy
2834,1,youve won tkts cup final cash collect pobox 
3685,0,dad says hurry hell
42,1, rodger burns msg tried reply sms free nokia mobile free camcorder delivery tomorrow
7394,1,win new club dont fink c met g b bar c u leave b msg with wiv k ur area reply promised carlie x
317,0,hmmm guess kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
504,0,lolnice went fish water
6708,1,minimum urgent mobile number awarded highest prize guaranteed land line claim remained valid
2557,0,fuck babe happened come came back
6517,1,update _ now xmas now offer latest latest security motorola sonyericsson blackberry nokia palm free ethernet bluetooth double mins and txt orange
967,0,sure night menu know noon menu
4553,0,symptoms u love like listening songs stopped u beloved wont angry
19,1,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland 
6347,1,loans refused loan loan secured loan unsecured cant credit and free text help will
1502,1,hot live fantasies min ntt ltd po box croydon national rate
522,0,shall come pickle
2016,0,read shame tell takes runs blame u ever long time
6147,1,in moby dick pub quizwin high house street prize u know new duchess cornwall could be yours txt stop the sp
3366,0,sorry ill later
3890,0,unlimited texts limited minutes
7478,1,special thanks ringtone post order telephone reference charged gbp for week battery unsubscribe anytime calling customer customer services
835,0,surely result offer
6743,1,free polyphonic phone tones included national name rate rates toppoly tune sent each week text rates subpoly pole unsub
2654,0,sorry dai thought calling lot timeslil busyi noon
7521,1,hey boys want hot action xxx pics sent direct up ur phone to txt porn news free world day stop on text stopbcm go sf
7223,1,refused building loan secured unsecured and cant credit free text message help broker will
1436,0,dad went oredi
389,1, half price orange line rental latest camera phones free phone mobilesdirect free update now 
50,0,thinked me time saw class
5969,1,post contract mobile mnths latest motorola atm nokia k etc free double 2 mins text orange radio tariffs text live yes callback remove dead records
2527,0,u noe send files computers
5843,1,free polyphonic 5 tone ur mob week 2 txt 2 tone free speech txtin tell you ur friends reply hl
215,0,sounds great home now
930,1,money r lucky winner claim prize text money away text rate 
3441,0,time thinkin goin
7151,1,registered subscribers u mobile enter and draw 5 gb gift as voucher replying on enter unsubscribe text message stop
1887,1,dear uve invited xchat final attempt contact u txt chat ldn 
5876,1,urgent urgent urgent free flights throughout europe away with sept friend free claim
5228,1,private account statement fone no shows unredeemed s i m points identifier code expires 
6943,1,datingi have these boys started sent out text talk sport radio week connection i think coincidence
4122,0,yunny im goin late
5216,0,late
4253,0,send ur birthdate month year tel u ur life partners name method calculation reply must
5102,1,msg mobile content order resent previous attempt failed network error queries customersqueriesnetvisionukcom
7133,1,live free startup week feature entry textpod network chance win ipod mobile cash award wk on txt vpod tscs in wwwtextpodnet custcare
2168,0,yeshe good crickiting mind
5921,1,weekly coolmob tones are ready to download this weeks new tones include frog crazy a frogaxel 5 f g akonlonely a black eyeddont point p more detailed info n
6676,1,available xmas offer latest motorola sonyericsson nokia palm free sd bluetooth dvd sd double mins wireless txt flash orange
7041,1,please reply address receive and post 3 weeks completely free accommodation global locations
4986,0,dont let studying stress out 
4386,1,want new nokia colour phone delivered tomorrow free minutes mobile free text free camcorder reply 
6987,1,phone won nokia now win your free auction send nokia now
5503,0, easy account identification tomorrow uni
5259,0,help u swoop picking u ur birds r meeting u want
6564,1,want u make secret only admirer looking contact that ufind because rreveal thinks about ur specialcall
3099,0,creepy crazy me
4617,0,called dad oredi
740,0,haha mayb ure rite u know well da feeling liked gd lor u faster find gals group attached liao
2122,0,xam hall boy asked girl tell starting term dis answer den manage lot hesitation n lookin silently said the intha ponnungale ipaditan
3125,0,uncles atlanta wish guys great semester
3129,0,u fuckin believe didnt know thurs pre booked cancelled again needs b sacked
6046,1,sincerely want funk ur fone users weekly list new customer tone reply message text wwwringtonescouk original n best customer tones from network operator rates apply
4602,1,freemsg txt no claim reward hours talk time use phone now inc stoptxtstop
232,0,dear going rubber place
884,0,dude sup
2627,0,unni thank dear rechargerakhesh
1565,0,tmrw im finishing doors
3187,0,happy birthday youdearwith lots loverakhesh nri
6429,1,one recieve of tone terms service conditions channel u for teletext pg
212,0,home chat
4819,0,hows ur paper
682,0,log wat its 
5886,1,datingi these i started sent a text talk channel sport bbc radio week connection think coincidence
5462,1,txt no claim reward hours talk time use phone now inc stoptxtstop wwwgambtv
5047,0,desires u going doctor liver bit stylish ur hair managed thats it
5951,1,u r tour winner u d ave teams specially selected receive cash to holiday flights at inc speak live operator claim
2633,0,cal sir meeting
7164,1,ur ringtone from service changed offering free credits just choose content now stop txt club once stop auto po
7191,1,want anytime network 20 mins text new video home phone pounds a week before reply delivery again tomorrow
7494,1,contract only mobile voice mnths latest model motorola phone nokia etc free subscription double mins text orange tariffs hot text a yes callback remove records
2568,0,dont want hear
5173,0,u 
1522,0,angry me happen dear
4904,0,im reaching stops
1675,0,nah dub je buff
4199,1,want funk ur fone weekly new tone reply text wwwringtonescouk original n best tones network operator rates apply
2951,0, said woke 
2857,0,japanese proverb it u it itu indian version it let it itleave it finally kerala version it stop it it strike 
934,0,time think youll it need know near campus
4847,0,pls help tell ashley cant find number oh
1349,0,much chillin home super bowl plan
2459,0,cool ill text im way
2352,1,download ringtones u like restrictions choose u send yr buddys txt sir 
4731,0,dont know ask brother problem thing that told 
4994,0,hey kate hope ur ok u buz wedlunch outsomewhere adrink towncud bit ppl fromwrk bthere love petexxx
943,1,getting touch folks waiting company txt age opt in enjoy community 
3693,0,having movies laptop
3878,0,sorry sir tomorrow senthilhsbc
2203,0,and man carlos definitely coming mu tonight excuses
418,1,free entry weekly competition text word win now tc wwwtxttowincouk
5093,0,gokila talking aha
6874,1,message important of information user today lucky no day find her log fantastic and surprise awaiting
1789,0,arun u transfr d amt
170,0,yes it completely formclark utter waste
4059,0,hi di yijue were meeting pm esaplanade tonight
6816,1,south sunshine play quiz to wkly q win the sony dvd player x u u know country friendly liverpool played mid week txt in ansr sptyrone
4896,1,want latest video handset anytime network mins half price line rental reply delivery tomorrow
834,0,thank much skyped wit kz sura didnt pleasure company hope good weve given ultimatum oh countin aburo enjoy message sent days ago
1955,0,good night going sleep
3519,0,willing apps class
1967,0,whats feathery bowa guys dont know about
3418,0,haf enuff space got like mb
2012,0,want know rules are talk earlier week start happening showing responsibility yet week its bend rule way way whatever im tired having thia argument week ltgt movie doesnt inlude previews youre getting 
7147,1,want anytime on network 10 mins free text new zealand video phone five pounds week reply delivery tomorrow
3392,0,im meeting later
833,1,dear voucher holder claim weeks offer pc tscs apply stop texts txt stop 
7114,1,valued customer pleased would advise following recent official review mob no awarded cash bonus top prize
2689,0,yes know cheesy songs frosty snowman 
5283,0,yeah probably
1895,1,freemsg hey u got videopic fones reply wild txt ill send u pics hurry im bored work xxx 
2878,0,past said train durham coz reserved seat
4861,0,response d powerful weapon occupy place heart so response cares u gud nightswt dreamstake care
3299,1,message free welcome new improved sex dogging club unsubscribe service reply stop 
3837,0,come n pick ar
5837,1,the free software msg or ringtonefrom
2698,0,use foreign stamps send for
5409,0,time 
3292,0,im smoking people use wylie smokes much justify ruining shit
3004,0,half hour
7070,1,for network operator service for free access t cs visit
1704,0,taste fish curry p
961,0,u sure u cant sick time
5848,1,they won valued vodafone customer computer series picked to win this prize collect easy
1386,0,thats ok popped ask bout said youd in tonght wen girl comes
4575,0, here
7419,1,is u your secret thee admirer thou looking contact ufind rreveal you thinks with ur specialcall
6662,1,u a secret admirer looking contact you ufind see rreveal and thinks every ur is specialcall
7445,1,customer service representative david freephone won the guaranteed cash consolation prize
4942,0,omg wedding chapel frontierville good stuff
4275,0,ball moving lotwill spin so difficult bat
249,0,didnt work oh ok goodnight then ill fix ready time wake up dearly missed good night sleep
6720,1,winner u specially judges selected receive cash holiday flights insurance inc and speak up live operator claim
3728,0,aldrine rakhesh ex rtm herepls callurgent
990,0,ugh gotta drive sd la butt sore
2306,0,area restaurant ill try come soon
7476,1,urgent landline complementary telephone tenerife holiday cash box await deposit collection service sae tcs radio po 911 box sender hol voice offer
6372,1,congratulations host ur awarded cd vouchers guaranteed free file entry wkly music draw txt broadcast music services tncs
6933,1,no hey smart boys want me hot xxx pics already sent direct over ur phone txt porn free day stop and text in stopbcm sf
3758,1,yes place town meet exciting adult singles uk txt chat now 
6169,1,sms a ac sptv new east jersey sea devils detroit blue red black wings play ice hockey key correct incorrect end reply end sptv
5200,1,germany pence minute fixed line access number prepayment direct access wwwtelediscountcouk
3783,0,r going send me
791,0,hoping enjoyed game yesterday sorry ive touch pls know fondly bein thot off great week abiola
415,1, dating service call 
505,1, congratulations weeks competition draw u won prize claim tcsstop sms 
2906,0,ha dont know either clever simple thing pears day perfect christmas
6962,1,movie ur tv chance win prize cash wk txt tv action tscs channel wwwmovietriviatv custcare
3536,0,im home
1619,0, oz guy kinda flaky friend interested picking ltgt worth tonight possible
3094,0,
4398,0,dad back
5256,0,shes big surprise
5580,1,lost technical help
1089,1,awarded sipix digital camera landline delivery t cs warranty p 
3917,0,ok c u then
4829,0,lol no trying day little interesting
4662,0,ok prob
6991,1,pro reply play win weekly professional sport tiger henry woods play send stop end in service
551,0,imagine finally sink bath paces maybe having eat left imagine feel cage cock surrounded bath water reminding owns enjoy cuck
3394,0,ok thanx
4564,0,come ltdecimalgt pm vikkyim otside nw il come tht time
6077,1,chance mobile claim ur is worth three discount internet vouchers today text shop is now savamob offers new mobile t or cs savamob sub
5189,1,ree entry weekly comp chance win ipod txt pod entry std txt rate tcs apply details 
87,0,yes started send requests pain came im bed double coins factory too gotta cash nitros
6767,1,golden uve bin awarded per play instant cash double claim and player wins min optout
2028,0,got new job bar airport satsgettin hour means lie in touch
3968,1,won valued vodafone customer computer picked win prize collect easy 
1551,0,says hi ass south tampa preferably kegger
6712,1,urgent mobile number record awarded prize cash guaranteed land vehicle line claim valid
3225,0,sorry da thangamits mistake
6890,1,freemsg ip claim ur address sms messagestext ok nowuse ur port mates tag etc also join tc remove us txtx port stop
2962,0,im da intro covers energy trends n pros n cons brief description nuclear fusion n oso brief history iter n jet got abt n half pages
3104,0,u lousy run come half dead hee
6681,1,congratulations but youve won youre winner august prize win draw now 3rd prize game code
870,1,u want xmas free text messages new video phone half price line rental free find more
7334,1,dont forget place their free requests and wish help information
7203,1,free free entry and weekly comp at chance win credit ipod txt pod entry the std txt gate rate tcs apply fee details
3062,0,u talking bout early morning its noon at
4686,0,alright well bring you like ltgt mins
4937,0,kkcongratulation 
1162,0,k sent
3447,0,mon okie lor haha best cheap n gd food la ex oso okie depends wana eat western chinese food den u prefer
2757,0,good trip watch remember decide easter
7082,1,taking mobile survey yesterday open texts use wish in txts send in txt search tc
6209,1,open account names credited name free account text messages activate txt word credit no tcs
4430,0,hey r watching movie tonight ill prob b home early
6648,1,chosen receive award pls claim by number collect bonus award recipient selected receive valued contact mobile or customer
914,0,ok lor early having project meeting now
